1: 1.#QNAN

2: 0

3: 2.39877

4: 2.51614

5: 2.26957

6: 2.00075

7: 1.76791

8: 1.57507

9: 1.4161

10: 1.28414

11: 1.17346

12: 1.07961

13: 0.999193

14: 0.929625

15: 0.868907

16: 0.815491

17: 0.76816

18: 0.725947

19: 0.688076

20: 0.653919

21: 0.62296

22: 0.594775

23: 0.569011

24: 0.54537

25: 0.523603

26: 0.503497

27: 0.48487

28: 0.467565

29: 0.451446

30: 0.436398

31: 0.422316

32: 0.409112

33: 0.396705

34: 0.385026

35: 0.374013

36: 0.363611

37: 0.35377

38: 0.344446

39: 0.3356

40: 0.327196

41: 0.319202

42: 0.311589

43: 0.304329

44: 0.297399

45: 0.290777

46: 0.284444

47: 0.278379

48: 0.272568

49: 0.266994

50: 0.261643

51: 0.256502

52: 0.251559

53: 0.246802

54: 0.242222

55: 0.237809

56: 0.233553

57: 0.229447

58: 0.225483

59: 0.221653

60: 0.217951

61: 0.21437

62: 0.210905

63: 0.20755

64: 0.204301

65: 0.201151

66: 0.198097

67: 0.195134

68: 0.192258

69: 0.189466

70: 0.186754

71: 0.184118

72: 0.181556

73: 0.179063

74: 0.176639

75: 0.174279

76: 0.171981

77: 0.169743

78: 0.167563

79: 0.165437

80: 0.163365

81: 0.161344

82: 0.159373

83: 0.157449

84: 0.155571

85: 0.153737

86: 0.151946

87: 0.150197

88: 0.148487

89: 0.146815

90: 0.145181

91: 0.143582

92: 0.142019

93: 0.140489

94: 0.138992

95: 0.137526

96: 0.136091

97: 0.134685

98: 0.133309

99: 0.13196

100: 0.130638

101: 0.129342

102: 0.128072

103: 0.126826

104: 0.125605

105: 0.124407

106: 0.123231

107: 0.122077

108: 0.120945

109: 0.119834

110: 0.118743

111: 0.117671

112: 0.116619

113: 0.115585

114: 0.11457

115: 0.113572

116: 0.112591

117: 0.111627

118: 0.11068

119: 0.109748

120: 0.108832

121: 0.107931

122: 0.107045

123: 0.106174

124: 0.105316

125: 0.104472

126: 0.103642

127: 0.102825

128: 0.10202

129: 0.101228

130: 0.100448

131: 0.0996805

132: 0.0989243

133: 0.0981794

134: 0.0974457

135: 0.0967228

136: 0.0960106

137: 0.0953089

138: 0.0946172

139: 0.0939356

140: 0.0932637

141: 0.0926014

142: 0.0919483

143: 0.0913045

144: 0.0906696

145: 0.0900434

146: 0.0894258

147: 0.0888167

148: 0.0882158

149: 0.087623
